,X,Y,Psi,vx,vy,r,throttle,steering,dvx,dvy,dr
6905,-2.7227945838884686,1.6265054832956138,0.11388040258143559,2.208769901501932,-0.061106229291414155,-0.11205645419584305,0.1459999978542328,-0.0719999969005584,-0.3138193592535868,-0.7731276341259997,-3.442386629091725
6906,-2.6916003930864663,1.630027402697146,0.11279606307987118,2.2012396218187305,-0.05975075242944683,-0.0937060906228936,0.1459999978542328,-0.0719999969005584,-0.8722820022589902,0.15701383227640064,2.1256437414005163
6907,-2.670192105596466,1.6324385204318714,0.11218456425355178,2.1986412297462037,-0.056052989167847844,-0.07780339665259912,0.1539999991655349,-0.1049999967217445,-0.34227672843448714,0.4870928929807614,2.094803983970809
6908,-2.6482575401068265,1.6343276309763453,0.11112429535333937,2.1939998709864375,-0.05100639869316162,-0.0551693561759626,0.1650000065565109,-0.1430000066757202,-0.4495551394502363,0.4888052835437495,2.1922996582382503
6909,-2.6274091721061774,1.6364957826187885,0.11060403477698542,2.1833387254139596,-0.05924554772930821,-0.026985720501248835,0.1650000065565109,-0.1430000066757202,-1.0655471533886087,-0.8234764024303645,2.8168635876109738
6910,-2.6063147958004595,1.638842416768091,0.1099926716154502,2.1875512727272315,-0.055626337315220764,0.006915054344644891,0.1689999997615814,-0.1609999984502792,0.40224176853305577,0.3455860526644284,3.2370693109347637
6911,-2.585369352106277,1.6410034686603987,0.10999639509562972,2.1849699151449977,-0.052669020597704536,0.04695167967581358,0.1800000071525573,-0.210999995470047,-0.21398803625519322,0.24515410081943567,3.3189353121267233
6912,-2.5642309514157544,1.643258385268053,0.11012853781489759,2.191299485917491,-0.04382779617926616,0.09376039498374183,0.1800000071525573,-0.210999995470047,0.8369103791320027,1.1690069905185212,6.189155802678354
6913,-2.542926971678674,1.6455775766239162,0.11079848594577922,2.200083602394208,-0.034245682041029374,0.1144409626598773,0.1889999955892563,-0.2660000026226043,0.9249986496627826,1.0090306364079848,2.1777371947866597
6914,-2.521504743720973,1.647997496478416,0.11195511622939135,2.2008526974166855,-0.03534422886442959,0.27116782819766627,0.1889999955892563,-0.2660000026226043,0.07559899369209373,-0.10798280049346723,15.405629958449179
6915,-2.5000315506869657,1.6503057056981827,0.11416419179658215,2.204533076512568,-0.03192867763295637,0.5446691014379241,0.19200000166893,-0.2840000092983246,0.1915545977363061,0.17777096466083955,14.23506247889514
6916,-2.4784076083655924,1.6528095245211356,0.11737848201305083,2.2024606807290983,-0.0156717736528251,0.3753458372801206,0.1930000036954879,-0.2910000085830688,-3.507452392667621,27.514202266429617,-286.57329489943135
6917,-2.459477911737551,1.6558476153510575,0.1205272537153082,2.2046329865126375,-0.0015455196002330807,0.5327270883997224,0.1930000036954879,-0.2910000085830688,0.19636976641698303,1.276969950397581,14.226781402025756
